Make,Model,Year,Engine HP,Engine Cylinders,Transmission Type,Vehicle Size,Vehicle Style,city mpg,highway MPG,MSRP
gmc,envoy xl,2005,275.0,6.0,automatic,large,4dr suv,13,18,29695
volkswagen,passat,2016,170.0,4.0,automatic,midsize,sedan,25,38,30495
honda,odyssey,2016,248.0,6.0,automatic,large,passenger minivan,19,28,37650
chevrolet,cruze,2015,138.0,4.0,manual,midsize,sedan,25,36,16170
volvo,740,1991,162.0,4.0,automatic,midsize,sedan,17,20,2000
suzuki,equator,2012,152.0,4.0,manual,compact,extended cab pickup,19,23,19299
ford,flex,2016,365.0,6.0,automatic,large,wagon,15,21,42600
acura,legend,1994,230.0,6.0,manual,midsize,coupe,16,24,2384
oldsmobile,eighty-eight royale,1995,205.0,6.0,automatic,large,sedan,17,26,2000
mazda,3,2015,155.0,4.0,automatic,compact,sedan,30,41,17995
toyota,yaris,2015,106.0,4.0,manual,compact,2dr hatchback,30,37,14845
mazda,b-series pickup,1998,150.0,6.0,manual,compact,regular cab pickup,15,20,2930
nissan,truck,1995,134.0,4.0,manual,compact,regular cab pickup,16,19,2130
mazda,mazdaspeed 6,2007,274.0,4.0,manual,midsize,sedan,17,23,27995
kia,amanti,2008,264.0,6.0,automatic,midsize,sedan,17,24,25495
volkswagen,gli,2009,200.0,4.0,manual,compact,sedan,21,31,24770
chrysler,pacifica,2008,253.0,6.0,automatic,large,wagon,14,22,27225
nissan,altima,2016,270.0,6.0,automatic,midsize,sedan,22,32,32690
acura,rsx,2005,210.0,4.0,manual,compact,2dr hatchback,20,28,23670
lexus,rc 350,2017,306.0,6.0,automatic,midsize,coupe,19,28,43010
chevrolet,aveo,2009,107.0,4.0,manual,compact,4dr hatchback,27,34,14100
volvo,740,1991,162.0,4.0,automatic,midsize,wagon,17,20,2000
audi,a7,2015,310.0,6.0,automatic,large,sedan,18,28,65900
ford,escape,2017,168.0,4.0,automatic,compact,4dr suv,21,29,23600
ford,focus,2017,160.0,4.0,manual,compact,sedan,26,36,16775
maybach,62,2011,620.0,12.0,automatic,large,sedan,10,16,463000
honda,ridgeline,2017,280.0,6.0,automatic,large,crew cab pickup,18,25,37730
ford,e-series van,2012,225.0,8.0,automatic,large,cargo van,13,17,27840
toyota,mr2,1993,200.0,4.0,manual,compact,coupe,18,25,2078
nissan,pathfinder,2017,284.0,6.0,automatic,large,4dr suv,20,27,36100
ford,e-series wagon,2014,225.0,8.0,automatic,midsize,passenger van,13,16,30230
subaru,impreza wrx,2014,305.0,4.0,manual,compact,sedan,17,23,37845
mazda,cx-5,2016,184.0,4.0,automatic,midsize,4dr suv,24,30,26515
acura,tl,2013,280.0,6.0,automatic,midsize,sedan,20,29,35905
pontiac,g6,2009,219.0,6.0,automatic,midsize,coupe,17,26,24610
mercedes-benz,e-class,2016,302.0,6.0,automatic,midsize,sedan,20,29,53100
ford,explorer sport,2001,203.0,6.0,manual,midsize,2dr suv,16,20,21035
lincoln,mkz,2016,231.0,4.0,automatic,midsize,sedan,22,31,37080
cadillac,cts wagon,2014,270.0,6.0,automatic,midsize,wagon,18,26,44095
mazda,tribute,2009,240.0,6.0,automatic,compact,4dr suv,18,26,23055
kia,rio,2016,138.0,4.0,automatic,compact,4dr hatchback,27,37,17905
volkswagen,gti,2013,200.0,4.0,automated_manual,compact,2dr hatchback,24,33,31495
chevrolet,silverado 1500,2015,285.0,6.0,automatic,large,regular cab pickup,18,24,26105
mercedes-benz,glc-class,2016,241.0,4.0,automatic,midsize,4dr suv,22,28,38950
honda,insight,2013,98.0,4.0,automatic,compact,4dr hatchback,41,44,18600
ford,ranger,2009,207.0,6.0,manual,compact,extended cab pickup,15,19,22305
buick,encore,2016,138.0,4.0,automatic,compact,4dr suv,25,33,29785
ford,shelby gt350,2015,526.0,8.0,manual,midsize,coupe,14,21,61295
audi,q5,2016,240.0,6.0,automatic,midsize,4dr suv,24,31,55600
kia,forte,2017,164.0,4.0,automatic,compact,4dr hatchback,25,34,21990
bmw,4 series,2015,240.0,4.0,automatic,midsize,convertible,23,34,48750
chevrolet,impala limited,2016,300.0,6.0,automatic,large,sedan,18,30,25830
buick,terraza,2005,200.0,6.0,automatic,midsize,passenger minivan,16,23,28110
chrysler,200,2016,184.0,4.0,automatic,midsize,sedan,23,36,21995
rolls-royce,ghost,2014,563.0,12.0,automatic,large,sedan,13,21,303300
chevrolet,c/k 1500 series,1997,200.0,6.0,manual,large,regular cab pickup,15,20,2265
volvo,xc60,2017,240.0,4.0,automatic,midsize,4dr suv,23,30,40950
ford,probe,1996,118.0,4.0,manual,compact,2dr hatchback,23,30,2000
nissan,juke,2016,188.0,4.0,automatic,compact,4dr hatchback,26,31,26940
mazda,3,2016,184.0,4.0,manual,compact,4dr hatchback,26,35,25445
gmc,yukon,2016,355.0,8.0,automatic,large,4dr suv,16,22,60000
chevrolet,s-10,2003,190.0,6.0,manual,compact,extended cab pickup,12,17,23985
buick,lacrosse,2016,304.0,6.0,automatic,large,sedan,18,28,31065
dodge,stratus,2004,200.0,6.0,automatic,midsize,coupe,18,25,23520
hyundai,genesis,2016,311.0,6.0,automatic,large,sedan,18,29,38750
subaru,impreza wrx,2013,265.0,4.0,manual,compact,sedan,19,25,28295
infiniti,q50,2017,300.0,6.0,automatic,midsize,sedan,20,29,44650
kia,rio,2015,138.0,4.0,automatic,compact,sedan,27,37,18090
buick,lacrosse,2015,182.0,4.0,automatic,large,sedan,25,36,33635
dodge,ram cargo,2002,175.0,6.0,automatic,large,cargo van,13,15,21430
toyota,camry,2016,178.0,4.0,automatic,midsize,sedan,25,35,23070
oldsmobile,ciera,1995,160.0,6.0,automatic,midsize,wagon,17,26,2000
hyundai,sonata hybrid,2016,193.0,4.0,automatic,midsize,sedan,39,43,30100
lincoln,ls,2005,232.0,6.0,automatic,midsize,sedan,17,24,36990
dodge,ramcharger,1993,230.0,8.0,automatic,midsize,2dr suv,11,15,2000
ford,probe,1995,164.0,6.0,manual,compact,2dr hatchback,18,24,2000
porsche,boxster,2016,315.0,6.0,manual,compact,convertible,20,28,63900
hummer,h3,2010,239.0,5.0,automatic,midsize,4dr suv,14,18,38365
suzuki,esteem,2000,122.0,4.0,manual,compact,sedan,24,32,2000
chevrolet,impala,2016,195.0,4.0,automatic,large,sedan,22,31,27095
dodge,dakota,2009,210.0,6.0,automatic,compact,extended cab pickup,15,20,22560
ford,f-150,2017,385.0,8.0,automatic,large,extended cab pickup,15,21,35870
