Name,Brand,Model,Price,Year,Fuel_Type,Transmission,Horsepower,Mileage,Color,Body_Type,Doors,Seats,Image_URL
Audi A4 Premium Plus,Audi,A4,45000,2024,Petrol,Automatic,201,27,Gray,Sedan,4,5,/static/images/audi_a4_premium_plus.jpg
Audi A6 Prestige,Audi,A6,58000,2024,Petrol,Automatic,335,26,Black,Sedan,4,5,/static/images/audi_a6_prestige.jpg
Audi Q5 Premium,Audi,Q5,50000,2024,Petrol,Automatic,261,25,Blue,SUV,4,5,/static/images/audi_q5_premium.jpg
BMW 3 Series 330i,BMW,3 Series,45000,2024,Petrol,Automatic,255,30,Blue,Sedan,4,5,/static/images/bmw_3_series_330i.jpg
BMW X3 M40i,BMW,X3,56000,2024,Petrol,Automatic,382,24,White,SUV,4,5,/static/images/bmw_x3_m40i.jpg
BMW X5 xDrive40i,BMW,X5,65000,2024,Diesel,Automatic,335,23,Black,SUV,4,7,/static/images/bmw_x5.jpg
Chevrolet Silverado 1500,Chevrolet,Silverado,45000,2024,Diesel,Automatic,277,23,Black,Truck,4,6,/static/images/chevrolet_selverado_1500.jpg
Ford F-150 XLT,Ford,F-150,42000,2024,Petrol,Automatic,400,20,White,Truck,4,6,/static/images/ford_f_150.jpg
Ford Focus SE,Ford,Focus,24000,2024,Petrol,Automatic,160,31,Red,Hatchback,4,5,/static/images/ford_focus_se.jpg
Ford Mustang GT,Ford,Mustang,45000,2024,Petrol,Manual,450,18,Yellow,Coupe,2,4,/static/images/ford_mustang_gt.jpg
Honda Accord EX,Honda,Accord,31000,2024,Petrol,Automatic,192,30,Silver,Sedan,4,5,/static/images/honda_accord_ex.jpg
Honda Civic Sport,Honda,Civic,27000,2024,Petrol,Manual,180,33,Red,Sedan,4,5,/static/images/honda_civic_sport.jpg
Honda CR-V Touring,Honda,CR-V,40000,2024,Hybrid,Automatic,204,34,Gray,SUV,4,5,/static/images/honda_cr_v_touring.jpg
Hyundai Elantra Limited,Hyundai,Elantra,25000,2024,Petrol,Automatic,147,37,White,Sedan,4,5,/static/images/hyundai_elantra.jpg
Hyundai Sonata SEL,Hyundai,Sonata,29000,2024,Petrol,Automatic,191,32,Gray,Sedan,4,5,/static/images/hyundai_sonata_sel.jpg
Hyundai Tucson Ultimate,Hyundai,Tucson,36000,2024,Hybrid,Automatic,226,33,Red,SUV,4,5,/static/images/hyundai_tucson_ultimate.jpg
Kia Optima EX,Kia,Optima,27000,2024,Petrol,Automatic,192,31,Silver,Sedan,4,5,/static/images/kia_optima_ex.jpg
Kia Sorento SX,Kia,Sorento,38000,2024,Hybrid,Automatic,227,29,Black,SUV,4,7,/static/images/kia_sorento_sx.jpg
Kia Sportage SX,Kia,Sportage,33000,2024,Petrol,Automatic,187,28,Blue,SUV,4,5,/static/images/kia_sportage_sx.jpg
Lexus ES 350,Lexus,ES,43000,2024,Petrol,Automatic,302,26,Black,Sedan,4,5,/static/images/lexus_es.jpg
Lexus RX 350,Lexus,RX,50000,2024,Hybrid,Automatic,308,30,Silver,SUV,4,5,/static/images/lexus_rx_350.jpg
Mazda3 Premium,Mazda,Mazda3,26000,2024,Petrol,Automatic,186,32,Red,Sedan,4,5,/static/images/mazda3_premium.jpg
Mazda CX-5 Grand Touring,Mazda,CX-5,34000,2024,Petrol,Automatic,250,27,White,SUV,4,5,/static/images/mazda5_cx_grand_touring.jpg
Mercedes C-Class C300,Mercedes,C-Class,48000,2024,Petrol,Automatic,255,28,Silver,Sedan,4,5,/static/images/mercedes_c_class_c300.jpg
Mercedes E-Class E350,Mercedes,E-Class,62000,2024,Petrol,Automatic,255,25,Black,Sedan,4,5,/static/images/mercedes_e_class_e350.jpg
