text,intent
"how much is the bmw",price
"what is the price of toyota corolla",price
"cost of honda civic",price
"tell me the price",price
"is it expensive",price
"how much do I need to pay",price
"price for mercedes",price
"what does it cost",price
"give me the price",price
"can you tell me how much",price
"What's the price for a new Toyota Corolla?",price
"How much does a 2024 Honda CR-V cost?",price
"Can you tell me the cost of the latest electric F-150?",price
"Gimme the price tag on that sporty red sedan.",price
"What's the MSRP on a base model Kia Telluride?",price
"How much are you asking for the used BMW 3 Series?",price
"I need to know the price of a Tesla Model Y right now.",price
"What is the typical leasing cost for a Nissan Rogue?",price
"Could you estimate the price of a fully loaded Porsche 911?",price
"How much did that vintage Mustang sell for?",price
"What's the going rate for a decent pre-owned minivan?",price
"Can I get a quote on the new Chevy Silverado?",price
"I'm looking for the cost of the cheapest hybrid car.",price
"What's the price range for a reliable family SUV?",price
"How much is a new Mazda Miata going to set me back?",price
"Tell me the cost of the top-trim Jeep Wrangler.",price
"What's the price of a base model Subaru Crosstrek?",price
"what is the price",price
"how much does it cost",price
"is it expensive",price
"is it cheap",price
"tell me the price",price
"car price?",price
"price please",price
"what is the cost of the vehicle",price
"how much is this car",price
"what is the selling price",price
"give me the price",price
"how much money for this car",price
"what do i need to pay",price
"cost of the car",price
"is this car affordable",price
"price details please",price
"what is the offer price",price
"is there a discount",price
"any discount on this car",price
"what is the final price",price
"price in euros",price
"price in dollars",price
"total price?",price
"payment amount?",price
"can you tell the price",price
"is the price negotiable",price
"lowest price?",price
"maximum price?",price
"current price?",price
"what is the cost today?",price
"how much should i pay for it",price
"car cost?",price
"how expensive is it",price
"purchase price?",price
"selling cost?",price
"What company makes the Civic?",brand
"Who is the manufacturer of the F-Pace?",brand
"Which car company produces the Model S?",brand
"What brand is known for the Quattro system?",brand
"Who builds the Ram trucks?",brand
"Which corporation owns the Lexus marque?",brand
"What car brand has a four-ring logo?",brand
"I want to know the make of the Explorer SUV.",brand
"Name the brand that produces the Chiron.",brand
"What brand is the new electric Hummer under?",brand
"Which company makes the best luxury sedans, in your opinion?",brand
"I'm curious about the company behind the Outback.",brand
"Who manufactures the G-Wagon?",brand
"Which brand is famous for the rotary engine?",brand
"Tell me which automotive brand starts with a V and is Swedish.",brand
"What's the brand of that super fast orange car?",brand
"I'm interested in the new Ford Bronco, what kind of vehicle is that?",model
"what brand is this car",brand
"what company makes it",brand
"who is the manufacturer",brand
"car brand?",brand
"which brand is it",brand
"what is the make of the car",brand
"who builds this vehicle",brand
"company name?",brand
"producer of the car?",brand
"brand name?",brand
"who designed this car",brand
"is it german brand",brand
"is it japanese brand",brand
"is it american brand",brand
"brand origin?",brand
"origin country of brand?",brand
"What's the name of the smallest Mercedes-Benz SUV?",model
"Do you have information on the newest electric car from Rivian?",model
"What model is considered the flagship sedan for Audi?",model
"Which model replaced the long-running VW Beetle?",model
"What is the model name for the popular Toyota pickup truck?",model
"I need details on the high-performance version of the standard Corolla.",model
"What's the most common model of electric vehicle on the road?",model
"Tell me the name of the fastest production car model.",model
"Which model of Hyundai has a three-row seating option?",model
"What model am I looking for if I want a small, fun convertible?",model
"The name of the new luxury SUV from Genesis?",model
"Is the Pathfinder a sedan or an SUV model?",model
"What is the specific model of that classic Aston Martin?",model
"Could you list the different trims of the Honda Accord?",model
"What's the current name for the base-level Porsche SUV?",model
"what is the model",model
"car model?",model
"tell me the model name",model
"which model is this",model
"full model name?",model
"model version?",model
"exact model?",model
"model type?",model
"vehicle model?",model
"variant model?",model
"model series?",model
"technical model?",model
"what are the specs of audi",model
"tell me about the engine",model
